predictedGrade, attendance, achievedGrade
6,90,6
5,80,5
4,70,4
3,60,3
2,50,2
6,80,5
5,70,4
4,60,3
3,50,2
2,40,1
6,70,4
5,60,3
4,50,2
3,40,1
2,30,1
6,90,6
5,80,5
4,70,4
3,60,3
2,50,2
6,80,5
5,70,4
4,60,3
3,50,2
2,40,1
6,70,4
5,60,3
4,50,2
3,40,1
2,30,1
6,90,6
5,80,5
4,70,4
3,60,3
2,50,2
6,80,5
5,70,4
4,60,3
3,50,2
2,40,1
6,70,4
5,60,3
4,50,2
3,40,1
2,30,1
6,90,6
5,80,5
4,70,4
3,60,3
2,50,2
6,80,5
5,70,4
4,60,3
3,50,2
2,40,1
6,70,4
5,60,3
4,50,2
3,40,1
2,30,1
6,90,6
5,80,5
4,70,4
3,60,3
2,50,2
6,80,5
5,70,4
4,60,3
3,50,2
2,40,1
6,70,4
5,60,3
4,50,2
3,40,1
2,30,1
6,90,6
5,80,5
4,70,4
3,60,3
2,50,2
6,80,5
5,70,4
4,60,3
3,50,2
2,40,1
6,70,4
5,60,3
4,50,2
3,40,1
2,30,1
6,90,6
5,80,5
4,70,4
3,60,3
2,50,2
6,80,5
5,70,4
4,60,3
3,50,2
2,40,1
6,70,4
5,60,3
4,50,2
3,40,1
2,30,1
6,90,6
5,80,5
4,70,4
3,60,3
2,50,2
6,80,5
5,70,4
4,60,3
3,50,2
2,40,1
6,70,4
5,60,3
4,50,2
3,40,1
2,30,1
6,90,6
5,80,5
4,70,4
3,60,3
2,50,2
6,80,5
5,70,4
4,60,3
3,50,2
2,40,1
6,70,4
5,60,3
4,50,2
3,40,1
2,30,1
6,90,6
5,80,5
4,70,4
3,60,3
2,50,2
6,80,5
5,70,4
4,60,3
3,50,2
2,40,1
6,70,4
5,60,3
4,50,2
3,40,1
2,30,1
6,90,6
5,80,5
4,70,4
3,60,3
2,50,2
6,80,5
5,70,4
4,60,3
3,50,2
2,40,1
6,70,4
5,60,3
4,50,2
3,40,1
2,30,1
6,90,6
5,80,5
4,70,4
3,60,3
2,50,2
6,80,5
5,70,4
4,60,3
3,50,2
2,40,1
6,70,4
5,60,3
4,50,2
3,40,1
2,30,1
